build_type,case_group_id,measurement_name,impl_mod,50,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,15000
sequential,alternate_insert_and_delete,75th_percentile,xb5_trees,138441.9122673012,134981.2044929244,111534.02329294317,111816.85069393177,114111.62705300405,105376.86472860047,106160.09787465243,104511.94081447793,109222.53853312356,97303.04620791462,99641.50685482535,83536.51646318834,72606.87732342008,71349.98878999073,66212.0975610915,62730.367500695684,58227.214235389336,56521.00542999862,55647.37372219718,55561.420372150395,49443.104247452
sequential,alternate_insert_and_delete,average,gb_sets,117883.75283410061,104438.5217636494,99149.41003248753,91479.10905899745,86935.52738151481,82636.92393503788,76830.0927630714,77967.18259532354,73593.84034129993,69651.64021989045,71204.08770541496,56114.09605196983,46982.99565282589,44981.174241748304,42251.29125200153,38387.89070782875,39400.63160940424,36742.386146497665,35901.63972085412,35095.61379427039,30857.043776613595
sequential,alternate_insert_and_delete,average,gb_trees,119575.53747022663,107497.5271188836,99005.37934566289,85902.35802622842,90321.84337536151,83865.59976959923,73556.53919293896,71646.83964400853,73912.96699354827,65710.63015139167,67687.223025073,56539.632199083906,47864.19088164848,42953.87429293826,41082.11673749637,39450.21273739831,37537.896942263156,36762.42368057114,34374.632904544735,32427.1041831239,30532.411756923713
sequential,alternate_insert_and_delete,average,xb5_bag,119873.62986105151,108822.97186785228,100470.83201393079,95957.13903844479,85749.51066734247,88383.87245852759,87200.19845151629,81648.12596586533,86434.15346516603,85226.99640810049,85729.94746680284,68471.65927632531,64044.43944287161,60986.074860512344,58992.49069242036,53332.565653351114,53114.152773238246,50599.94313320094,48805.50594171883,49333.463519197016,43089.429759408624
sequential,alternate_insert_and_delete,average,xb5_sets,124436.67217703909,118995.76304901367,113356.92295026565,104785.07664264999,95149.91443897873,97293.20722249763,86921.85198831529,89858.6919747069,95118.4020339232,90783.01454231385,90364.65576709555,77637.72532445073,68147.12846142559,63214.31126093135,61840.287761183725,56701.99355751733,56589.77066226202,51784.443800780056,50765.11324419681,49302.54580823809,46728.5582208191
sequential,alternate_insert_and_delete,average,xb5_trees,115020.49399158848,104734.10234392973,93434.660874041,88816.56293474321,93117.5017021192,83947.33576788018,87583.53111991513,88503.4821012512,89034.26047441075,83820.87441234017,79462.28184746992,65314.60030937881,59343.78555857619,57825.50610527207,55942.35808067548,51670.482151993536,48724.62268280268,48665.212774190375,46459.40276880346,46287.66493705625,41725.639014884175
sequential,alternate_insert_and_delete,maximum,gb_sets,194806.45978220637,209332.0215193318,173343.2716809097,148681.1977757293,146702.85337049805,119918.4554502938,117748.1837342659,118234.05613752986,115190.12129519772,105669.14989168911,110309.52853707504,126932.54804396944,63721.05471089757,59165.64605927214,56149.49240858862,52255.88662562838,58015.07231578764,47006.39757070937,45964.96550329339,65739.7363836571,50791.58688154894
sequential,alternate_insert_and_delete,maximum,gb_trees,252079.65717166624,171886.28003712744,177863.15209078134,139145.92232874615,144481.52803664052,126596.7008899748,119317.50387781888,105981.60159396329,112564.44314369977,105125.94087717085,151194.43604475356,127385.28954676315,66257.19718804455,58298.49997959552,115842.63935869515,113725.53479432737,48290.28254644318,50133.6060601503,46068.51309267142,45367.933944288176,40595.78372190264
sequential,alternate_insert_and_delete,maximum,xb5_bag,246864.8168263059,182165.95318335004,159979.5226211045,176115.24981948186,139145.92232874615,137674.67474358092,145953.4408523681,124072.55763170302,141763.5384179189,148838.3169363121,148683.40841845458,106692.84197723174,98881.64855484471,92137.02618534284,83535.90791001511,73275.64097866946,77646.98574401342,71554.81456569805,91140.2557395576,64700.21156969183,61293.28838492185
sequential,alternate_insert_and_delete,maximum,xb5_sets,230936.21541730175,233956.43731137263,176550.55525149626,212120.56933160807,161786.11875101118,141622.999575131,144337.63459484425,147610.19100758716,150715.90052750564,151036.8680995031,147762.87014598973,160158.87760658574,113097.86358135694,93950.52565319103,99707.85598197283,81306.10120983479,107091.60615990919,75637.2437788367,73501.84857149157,96483.18780452506,62117.588595210735
sequential,alternate_insert_and_delete,maximum,xb5_trees,221297.68965212003,212436.00365389927,159091.27066197878,155125.3412757508,157688.91131575627,141904.35646374343,167855.6441460344,144627.8003557844,136104.41931049502,135973.02295224628,120420.99178728837,104894.37136803239,97868.42568850437,83535.90791001511,102126.26891889132,75358.5181500991,68181.19835274224,66907.08612949197,61849.038865936025,64005.73491384828,56885.733626863715
sequential,alternate_insert_and_delete,median,gb_sets,113365.83153837433,105087.96591004208,102786.54318576612,94696.9696969697,92137.02618534284,87359.1333973967,80349.95635258281,82170.15503848203,77041.01453052282,75239.44954818711,74379.85793447135,58801.392416972434,49000.872215525436,47647.63620076808,44632.51345419162,40435.79005384422,41580.514803195794,39465.66214842727,37888.690604741394,35768.44936618308,32445.259338376673
sequential,alternate_insert_and_delete,median,gb_trees,118526.9471014235,113369.31553398099,104285.61051387957,94446.26119729488,92494.10350090182,89154.40551658196,77173.23154293935,79766.44385240017,76773.074147435,69337.06829007856,74264.41100895629,59633.848172222555,51182.507850692666,47207.66652504366,44069.36518079457,41749.81927974592,40526.684795603665,39552.73764273594,37276.990404902666,35599.47739967177,32071.15989134161
sequential,alternate_insert_and_delete,median,xb5_bag,116316.32735985347,112919.07090188462,104397.8797011717,100410.30857426047,93888.77935197964,93643.48054088475,90766.23377329415,88165.53961718523,91548.26424490992,89517.0081779453,89376.72196892998,77353.28016584543,71093.32174438472,66844.47296475292,63777.95068688853,59386.92289640517,58537.04224032968,55539.5108079888,54317.715179628685,52601.569022439544,47711.705532199565
sequential,alternate_insert_and_delete,median,xb5_sets,125596.58377292138,118723.95493238671,119517.15071112705,107654.21466250403,101474.42337158919,101836.31196881959,87631.97231018578,93798.89265244955,99328.05743453547,97534.85255212152,94570.69632403704,83832.00197153006,74187.32214827924,65635.09435419753,66705.07762306585,62853.551225644245,62090.78293432585,52999.480952319514,54607.80673205041,51503.91429748661,50504.79543032611
sequential,alternate_insert_and_delete,median,xb5_trees,121237.19072097832,113952.34047448487,101187.99725894774,98847.45069415736,99847.28250818975,93431.20485870534,92524.06595749428,94384.51426192325,94137.26888848096,89600.1146881468,87412.34322526978,72940.29433818579,66348.63554031012,65275.491730544716,61756.17359058267,58525.11303897106,54400.156672451216,53286.75486707233,52122.6968283339,51503.91429748661,46301.102073518414
