build_type,group_id,measurement_name,impl_description,0,100
xb5_adversarial,get_x100,average,:xb5_trees.get/2,,0.0
xb5_adversarial,get_x100,minimum,:gb_trees.get/2,,0
xb5_adversarial,get_x100,minimum,:xb5_trees.get/2,,0
xb5_adversarial,get_x100,25th_percentile,:gb_trees.get/2,,0.0
xb5_adversarial,get_x100,25th_percentile,:xb5_trees.get/2,,0.0
xb5_adversarial,get_x100,median,:gb_trees.get/2,,0.0
xb5_adversarial,get_x100,median,:xb5_trees.get/2,,0.0
xb5_adversarial,get_x100,75th_percentile,:gb_trees.get/2,,0.0
xb5_adversarial,get_x100,75th_percentile,:xb5_trees.get/2,,0.0
xb5_adversarial,get_x100,maximum,:gb_trees.get/2,,0
xb5_adversarial,get_x100,maximum,:xb5_trees.get/2,,0
xb5_adversarial,insert_x100,average,:gb_sets.insert/2,25983.183673469386,29923.2
xb5_adversarial,insert_x100,average,:gb_trees.insert/3,31913.95918367347,36804.0
xb5_adversarial,insert_x100,average,:xb5_bag.insert/2,25336.96,34441.44
xb5_adversarial,insert_x100,average,:xb5_sets.insert/2,21702.56,28888.64
xb5_adversarial,insert_x100,average,:xb5_trees.insert/3,29606.72,38932.444444444445
xb5_adversarial,insert_x100,minimum,:gb_sets.insert/2,23680,29600
xb5_adversarial,insert_x100,minimum,:gb_trees.insert/3,29000,36400
xb5_adversarial,insert_x100,minimum,:xb5_bag.insert/2,24376,33864
xb5_adversarial,insert_x100,minimum,:xb5_sets.insert/2,21088,28048
xb5_adversarial,insert_x100,minimum,:xb5_trees.insert/3,28352,38272
xb5_adversarial,insert_x100,25th_percentile,:gb_sets.insert/2,24976.0,29816.0
xb5_adversarial,insert_x100,25th_percentile,:gb_trees.insert/3,30620.0,36670.0
xb5_adversarial,insert_x100,25th_percentile,:xb5_bag.insert/2,25028.0,34084.0
xb5_adversarial,insert_x100,25th_percentile,:xb5_sets.insert/2,21432.0,28662.0
xb5_adversarial,insert_x100,25th_percentile,:xb5_trees.insert/3,29218.0,38704.0
xb5_adversarial,insert_x100,median,:gb_sets.insert/2,25824.0,29952.0
xb5_adversarial,insert_x100,median,:gb_trees.insert/3,31680.0,36840.0
xb5_adversarial,insert_x100,median,:xb5_bag.insert/2,25388.0,34316.0
xb5_adversarial,insert_x100,median,:xb5_sets.insert/2,21672.0,28880.0
xb5_adversarial,insert_x100,median,:xb5_trees.insert/3,29636.0,38960.0
xb5_adversarial,insert_x100,75th_percentile,:gb_sets.insert/2,27116.0,30056.0
xb5_adversarial,insert_x100,75th_percentile,:gb_trees.insert/3,33320.0,36970.0
xb5_adversarial,insert_x100,75th_percentile,:xb5_bag.insert/2,25618.0,34740.0
xb5_adversarial,insert_x100,75th_percentile,:xb5_sets.insert/2,22008.0,29094.0
xb5_adversarial,insert_x100,75th_percentile,:xb5_trees.insert/3,29988.0,39144.0
xb5_adversarial,insert_x100,maximum,:gb_sets.insert/2,28688,30176
xb5_adversarial,insert_x100,maximum,:gb_trees.insert/3,35360,37120
xb5_adversarial,insert_x100,maximum,:xb5_bag.insert/2,26104,35552
xb5_adversarial,insert_x100,maximum,:xb5_sets.insert/2,22240,29592
xb5_adversarial,insert_x100,maximum,:xb5_trees.insert/3,30624,39896
